sensor, -0.0247,0.0093,0.0050
sensor, -0.0140,0.0007,0.0082
sensor, -0.0034,-0.0120,-0.0014
sensor, -0.0002,-0.0057,-0.0088
sensor, 0.0020,-0.0046,-0.0035
sensor, -0.0034,-0.0078,-0.0046
sensor, -0.0023,-0.0057,-0.0046
sensor, 0.0009,-0.0046,-0.0035
sensor, -0.0055,-0.0003,-0.0014
sensor, -0.0098,0.0103,-0.0003
sensor, -0.0002,0.0082,-0.0067
sensor, 0.0062,-0.0035,-0.0120
sensor, -0.0055,0.0050,-0.0014
sensor, -0.0119,0.0061,0.0071
sensor, -0.0034,-0.0046,-0.0035
sensor, 0.0105,-0.0174,-0.0056
sensor, 0.0083,-0.0131,0.0039
sensor, -0.0023,-0.0131,0.0039
sensor, -0.0012,-0.0120,0.0029
sensor, -0.0044,-0.0078,-0.0003
sensor, -0.0193,-0.0003,-0.0003
sensor, -0.0119,-0.0067,0.0029
sensor, -0.0012,-0.0227,0.0008
sensor, 0.0030,-0.0238,-0.0035
sensor, 0.0030,-0.0195,-0.0046
sensor, -0.0076,-0.0089,-0.0078
sensor, -0.0044,-0.0046,-0.0003
sensor, 0.0094,-0.0120,0.0018
sensor, 0.0105,-0.0142,0.0018
sensor, 0.0009,-0.0110,0.0146
sensor, -0.0012,-0.0067,0.0221
sensor, 0.0052,-0.0120,0.0135
sensor, 0.0062,-0.0120,0.0071
sensor, -0.0002,-0.0014,0.0061
sensor, -0.0119,0.0050,0.0061
sensor, -0.0108,0.0082,0.0071
sensor, 0.0062,-0.0046,0.0008
sensor, 0.0147,-0.0163,-0.0003
sensor, 0.0052,-0.0110,0.0039
sensor, -0.0055,-0.0003,0.0061
sensor, -0.0044,-0.0003,0.0082
sensor, 0.0062,-0.0120,0.0008
sensor, 0.0158,-0.0216,-0.0024
sensor, 0.0179,-0.0216,0.0082
sensor, 0.0009,-0.0089,0.0125
sensor, -0.0108,0.0007,0.0061
sensor, -0.0130,-0.0035,0.0029
sensor, -0.0066,-0.0152,0.0061
sensor, 0.0116,-0.0376,0.0050
sensor, 0.0190,-0.0600,-0.0003
sensor, 0.0062,-0.0717,0.0071
sensor, -0.0087,-0.0770,0.0103
sensor, -0.0140,-0.0856,0.0178
sensor, -0.0098,-0.1132,0.0189
sensor, -0.0002,-0.1527,0.0082
sensor, -0.0002,-0.1793,-0.0014
sensor, -0.0098,-0.2059,0.0008
sensor, -0.0130,-0.2336,-0.0024
sensor, -0.0257,-0.2752,-0.0270
sensor, -0.0406,-0.3199,-0.0344
sensor, -0.0151,-0.3923,-0.0312
sensor, -0.0087,-0.4477,-0.0291
sensor, -0.0257,-0.4840,-0.0152
sensor, -0.0609,-0.5106,0.0167
sensor, -0.0790,-0.5159,0.0508
sensor, -0.0375,-0.5596,0.0593
sensor, 0.0158,-0.6363,0.0444
sensor, 0.0041,-0.6544,0.0391
sensor, -0.0151,-0.6384,0.0444
sensor, 0.0094,-0.6512,0.0668
sensor, 0.0339,-0.7055,0.0934
sensor, 0.0009,-0.7354,0.1062
sensor, -0.0524,-0.7002,0.0892
sensor, -0.0193,-0.7023,0.0743
sensor, 0.0499,-0.7460,0.0924
sensor, 0.0456,-0.7663,0.1105
sensor, 0.0073,-0.7471,0.0828
sensor, 0.0243,-0.7631,0.0370
sensor, 0.0733,-0.7876,0.0348
sensor, 0.0861,-0.7950,0.0828
sensor, 0.0627,-0.8025,0.0998
sensor, 0.0552,-0.8110,0.0285
sensor, 0.0776,-0.8270,0.0039
sensor, 0.0733,-0.8483,0.0604
sensor, 0.0030,-0.8493,0.0977
sensor, -0.0833,-0.7876,0.0466
sensor, -0.0630,-0.7748,-0.0238
sensor, 0.0478,-0.8611,-0.0504
sensor, 0.0723,-0.9143,-0.0642
sensor, 0.0201,-0.9037,-0.0866
sensor, 0.0339,-0.8856,-0.0919
sensor, 0.0744,-0.9026,-0.0451
sensor, 0.0510,-0.9069,0.0274
sensor, -0.0311,-0.8824,0.0870
sensor, -0.0843,-0.8078,0.1179
sensor, -0.0630,-0.7758,0.0956
sensor, -0.0289,-0.8003,0.0711
sensor, -0.0460,-0.8025,0.0561
sensor, -0.0790,-0.7876,0.0370
sensor, -0.0833,-0.7769,0.0178
sensor, -0.0737,-0.7918,-0.0600
sensor, -0.0630,-0.7684,-0.1207
sensor, 0.0265,-0.8003,-0.1420
sensor, 0.1127,-0.8387,-0.1516
sensor, 0.1309,-0.8483,-0.1569
sensor, 0.0914,-0.8035,-0.0557
sensor, 0.0627,-0.7386,0.0380
sensor, 0.0861,-0.7577,0.0998
sensor, 0.0424,-0.7503,0.1211
sensor, 0.0009,-0.6991,0.0934
sensor, 0.0339,-0.6917,0.0870
sensor, 0.0659,-0.6949,0.1009
sensor, 0.0446,-0.6959,0.1446
sensor, -0.0247,-0.6768,0.1083
sensor, -0.0279,-0.6555,0.0008
sensor, 0.0488,-0.6565,-0.0738
sensor, 0.0829,-0.6501,-0.0440
sensor, 0.0265,-0.6320,0.0167
sensor, 0.0158,-0.6246,0.0210
sensor, 0.0776,-0.6470,-0.0163
sensor, 0.0936,-0.6395,-0.0387
sensor, 0.0659,-0.5873,0.0061
sensor, 0.0712,-0.5564,0.0561
sensor, 0.1319,-0.5937,0.0647
sensor, 0.1522,-0.6427,0.0807
sensor, 0.1202,-0.5990,0.1158
sensor, 0.1106,-0.5287,0.1446
sensor, 0.1330,-0.5191,0.1637
sensor, 0.1117,-0.4840,0.1509
sensor, 0.0584,-0.3881,0.1169
sensor, 0.0776,-0.3231,0.0519
sensor, 0.1160,-0.3188,-0.0206
sensor, 0.0946,-0.2517,-0.0397
sensor, 0.0361,-0.1527,-0.0408
sensor, 0.0094,-0.1026,-0.0589
sensor, 0.0052,-0.0600,-0.0642
sensor, 0.0041,0.0050,-0.0344
sensor, 0.0030,0.0231,-0.0163
sensor, -0.0098,0.0167,-0.0035
sensor, -0.0215,0.0391,0.0008
sensor, -0.0098,0.0423,-0.0088
sensor, -0.0055,0.0391,-0.0174
sensor, 0.0041,0.0359,-0.0110
sensor, -0.0023,0.0338,-0.0003
sensor, -0.0417,0.0625,0.0114
sensor, -0.0502,0.0678,-0.0014
sensor, -0.0119,0.0433,-0.0270
sensor, 0.0009,0.0306,-0.0280
sensor, -0.0098,0.0391,-0.0216
sensor, -0.0055,0.0306,-0.0078
sensor, 0.0030,0.0210,0.0039
sensor, -0.0023,0.0274,-0.0056
sensor, -0.0055,0.0348,-0.0120
sensor, -0.0055,0.0252,0.0071
sensor, -0.0172,0.0146,-0.0046
sensor, 0.0094,-0.0057,-0.0227
sensor, 0.0499,-0.0291,-0.0216
sensor, 0.0286,-0.0248,-0.0035
sensor, -0.0300,0.0103,0.0285
sensor, -0.0492,0.0263,0.0359
sensor, -0.0161,0.0188,0.0274
sensor, 0.0137,-0.0035,0.0071
