Acce X,Acce Y,Acce Z,Gyro X,Gyro Y,Gyro Z,Quat x,Quat y,Quat z,Quat w,Mag X,MagY,Mag Z
0.0002,0.0082,-0.028,-0.0055,0.0038,0.0101,-0.2479,0.4057,0.5442,0.6913,51.5488,5.7724,11.5433
0.0026,0.0207,0.0097,-0.0087,0.0038,0.0091,-0.2479,0.4056,0.5443,0.6912,51.5488,5.7724,11.5433
-0.0089,0.0364,-0.0077,-0.0076,0.0038,0.0091,-0.2479,0.4056,0.5443,0.6911,51.5488,5.7724,11.5433
-0.0134,0.0366,-0.0228,-0.0076,0.0049,0.0101,-0.2479,0.4057,0.5444,0.6911,51.5488,5.7724,11.5433
0.0004,0.0266,0.0084,-0.0087,0.0049,0.008,-0.2479,0.4057,0.5444,0.6911,51.5488,9.2636,12.2238
-0.0087,0.0191,0.0098,-0.0108,0.0038,0.008,-0.2479,0.4057,0.5443,0.6911,51.5488,9.2636,12.2238
0.0123,0.0078,-0.0238,-0.0119,0.0059,0.0091,-0.2478,0.4057,0.5443,0.6911,51.5488,9.2636,12.2238
0.0234,0.0276,0.0062,-0.0108,0.0049,0.0112,-0.2478,0.4058,0.5443,0.6911,51.5488,9.2636,12.2238
0.0022,0.0606,-0.0428,-0.0098,0.0038,0.0091,-0.2478,0.4058,0.5443,0.6911,48.7549,7.1686,12.2238
0.0362,0.0465,0.0037,-0.0098,0.0049,0.0069,-0.2478,0.4058,0.5443,0.6911,48.7549,7.1686,12.2238
0.0578,0.0337,-0.0125,-0.0119,0.0049,0.0091,-0.2478,0.4058,0.5443,0.6911,48.7549,7.1686,12.2238
0.0628,0.0788,-0.0325,-0.0098,0.0059,0.0069,-0.2478,0.4059,0.5443,0.6911,48.7549,7.1686,12.2238
0.0406,0.0735,-0.011,-0.0087,0.0038,0.0037,-0.2477,0.4059,0.5443,0.6911,50.8514,6.4697,12.2238
0.0448,0.0428,-0.0155,-0.0076,0.0027,0.0037,-0.2477,0.4059,0.5445,0.691,50.8514,6.4697,12.2238
0.0594,0.0341,-0.0372,-0.0066,0.0017,0.0037,-0.2477,0.4059,0.5445,0.691,50.8514,6.4697,12.2238
0.0132,0.0461,0.0008,-0.0044,-0.0005,0.0027,-0.2477,0.4059,0.5444,0.691,50.8514,6.4697,12.2238
0.0322,0.0432,-0.0238,-0.0055,0.0006,0.0027,-0.2477,0.4059,0.5444,0.691,49.4537,7.8674,10.1852
0.0673,0.0394,-0.005,-0.0012,-0.0026,0.0027,-0.2476,0.406,0.5444,0.6911,49.4537,7.8674,10.1852
0.0301,0.0726,-0.0119,0.0009,-0.0026,0.0005,-0.2476,0.406,0.5444,0.6911,49.4537,7.8674,10.1852
0.056,0.0644,-0.0163,0.002,-0.0026,0.0005,-0.2475,0.406,0.5444,0.6911,49.4537,7.8674,10.1852
0.037,0.0594,-0.0132,0.002,-0.0026,0.0005,-0.2474,0.406,0.5444,0.6911,50.8514,6.4697,11.5433
0.046,0.0552,-0.0327,0.003,-0.0026,-0.0027,-0.2475,0.406,0.5445,0.691,50.8514,6.4697,11.5433
0.0631,0.0755,-0.019,0.0052,-0.0058,-0.0059,-0.2474,0.406,0.5445,0.691,50.8514,6.4697,11.5433
