Acce X,Acce Y,Acce Z,Gyro X,Gyro Y,Gyro Z,Quat x,Quat y,Quat z,Quat w,Mag X,MagY,Mag Z
-0.0001,-0.0537,-0.0509,0.0041,-0.0026,-0.0027,0,0,0,0,48.7549,8.5663,12.9028
0.0218,-0.0675,-0.0796,0.0009,-0.0026,-0.0005,-0.2454,0.4109,0.5345,0.6966,48.7549,8.5663,12.9028
0.0152,-0.0659,-0.0285,-0.0002,-0.0005,0.0005,-0.2456,0.4109,0.5344,0.6966,49.4537,7.8674,11.5433
-0.0165,-0.0537,-0.0532,0.002,0.0006,-0.0027,-0.2458,0.4108,0.5345,0.6965,49.4537,7.8674,11.5433
-0.015,-0.0627,-0.0408,0.0009,0.0027,-0.0016,-0.2459,0.4108,0.5345,0.6965,49.4537,7.8674,11.5433
0.0049,-0.0825,-0.0232,-0.0023,0.0017,-0.0016,-0.246,0.4108,0.5344,0.6965,49.4537,7.8674,11.5433
0.002,-0.0647,-0.0067,-0.0023,0.0027,-0.0016,-0.2462,0.4108,0.5345,0.6964,50.1526,6.4697,11.5433
0.0013,-0.0498,-0.0169,-0.0023,0.0006,-0.0016,-0.2464,0.4106,0.5346,0.6963,50.1526,6.4697,11.5433
0.0253,-0.0615,-0.0272,-0.0023,0.0006,-0.0016,-0.2465,0.4106,0.5346,0.6963,50.1526,6.4697,11.5433
0.0348,-0.0344,-0.0035,-0.0023,0.0006,-0.0005,-0.2466,0.4105,0.5346,0.6963,50.1526,6.4697,11.5433
0.0532,-0.034,-0.0455,-0.0034,-0.0005,0.0016,-0.2466,0.4105,0.5346,0.6963,50.1526,7.1686,11.5433
0.0211,-0.0249,-0.0304,-0.0023,-0.0026,0.0027,-0.2467,0.4104,0.5347,0.6962,50.1526,7.1686,11.5433
0.0266,0.0088,-0.0061,-0.0012,-0.0026,0.0048,-0.2468,0.4104,0.5347,0.6962,50.1526,7.1686,11.5433
-0.0019,-0.027,-0.0087,-0.0012,-0.0015,0.0069,-0.2467,0.4104,0.5348,0.6962,50.1526,7.1686,11.5433
0.0042,-0.0211,0.0011,-0.0012,-0.0015,0.0069,-0.2468,0.4104,0.5348,0.6962,49.4537,7.8674,10.8643
0.004,-0.0204,-0.0089,0.002,-0.0026,0.008,-0.2468,0.4104,0.5348,0.6962,49.4537,7.8674,10.8643
-0.0013,-0.0023,-0.0104,0.0009,0.0006,0.0048,-0.2468,0.4104,0.5348,0.6961,49.4537,7.8674,10.8643
0.0303,-0.0001,-0.0364,0.0009,0.0006,0.0048,-0.2468,0.4104,0.5348,0.6961,49.4537,7.8674,10.8643
0.0872,-0.0222,0.0139,0.002,0.0006,0.0016,-0.2468,0.4104,0.5348,0.6961,49.4537,6.4697,11.5433
0.0974,0.0026,0.0093,0.002,-0.0037,-0.0005,-0.2469,0.4103,0.535,0.6961,49.4537,6.4697,11.5433
0.0761,0.0084,0.0113,0.0041,-0.0047,-0.0037,-0.2468,0.4103,0.535,0.6961,49.4537,6.4697,11.5433
0.0347,-0.0101,-0.0109,0.0041,-0.0079,-0.0048,-0.2468,0.4102,0.535,0.6961,49.4537,6.4697,11.5433
0.0065,-0.0713,-0.0026,0.0052,-0.009,-0.0005,-0.2468,0.4102,0.535,0.6961,52.2476,8.5663,12.2238
-0.0448,-0.0349,-0.0104,0.0041,-0.0068,0.0037,-0.2468,0.4101,0.5351,0.6961,52.2476,8.5663,12.2238
-0.0488,-0.0675,0.0219,0.0041,-0.0047,0.008,-0.2469,0.4101,0.5351,0.6961,52.2476,8.5663,12.2238
-0.0151,-0.0716,-0.0185,0.0009,-0.0026,0.0122,-0.2469,0.4101,0.5351,0.6961,52.2476,8.5663,12.2238
-0.0127,-0.0593,0.0054,-0.0012,-0.0047,0.0133,-0.247,0.4101,0.5351,0.6961,49.4537,7.1686,13.5834
-0.0018,-0.0763,-0.0114,-0.0012,-0.0058,0.0122,-0.2471,0.41,0.5353,0.6959,49.4537,7.1686,13.5834
0.0106,-0.0242,-0.001,-0.0012,-0.009,0.0112,-0.2472,0.4099,0.5353,0.6959,49.4537,7.1686,13.5834
-0.0131,0.0088,-0.0124,-0.0044,-0.0111,0.0048,-0.2472,0.4099,0.5353,0.6959,49.4537,7.1686,13.5834
-0.0201,-0.0045,0.0067,-0.0044,-0.0068,-0.0005,-0.2472,0.4099,0.5354,0.6959,48.0576,8.5663,10.1852
-0.0372,0.0055,0.0405,-0.0044,-0.0026,-0.008,-0.2472,0.4099,0.5353,0.6959,48.0576,8.5663,10.1852
-0.037,0.0004,0.0398,-0.0087,0.0017,-0.0101,-0.2472,0.4099,0.5353,0.696,48.0576,8.5663,10.1852
0.0026,-0.0373,0.0515,-0.0098,0.0017,-0.0122,-0.2472,0.4098,0.5353,0.696,48.0576,8.5663,10.1852
0.0188,-0.0201,0.03,-0.0119,-0.0005,-0.0154,-0.2472,0.4098,0.5353,0.696,48.7549,8.5663,11.5433
0.0544,0.0181,0.0302,-0.0119,-0.0026,-0.0176,-0.2473,0.4097,0.5353,0.696,48.7549,8.5663,11.5433
0.0475,0.0316,0.0165,-0.0119,-0.0047,-0.0186,-0.2473,0.4096,0.5353,0.696,48.7549,8.5663,11.5433
0.0005,0.0647,0.0495,-0.0087,-0.0047,-0.0186,-0.2473,0.4096,0.5353,0.6961,48.7549,8.5663,11.5433
-0.0387,0.041,0.0391,-0.0034,-0.0047,-0.0165,-0.2472,0.4096,0.5353,0.6961,49.4537,7.8674,13.5834
-0.072,0.0185,0.0853,-0.0034,-0.0047,-0.0165,-0.2473,0.4095,0.5354,0.6961,49.4537,7.8674,13.5834
-0.0652,0.0168,0.0896,0.003,0.0006,-0.0091,-0.2473,0.4095,0.5353,0.6961,49.4537,7.8674,13.5834
-0.0547,0.0116,0.0662,0.0073,0.0006,-0.0059,-0.2472,0.4095,0.5353,0.6961,49.4537,7.8674,13.5834
-0.0737,-0.0279,0.0611,0.0083,-0.0005,-0.0037,-0.2472,0.4095,0.5353,0.6961,50.1526,7.1686,12.9028
-0.0705,-0.0305,0.0827,0.0105,0.0017,0.0005,-0.2473,0.4094,0.5354,0.6961,50.1526,7.1686,12.9028
-0.0906,-0.0006,0.0077,0.0094,0.0049,0.0016,-0.2473,0.4094,0.5354,0.6961,50.1526,7.1686,12.9028
-0.0461,-0.0105,0.0701,0.0094,0.0049,0.0048,-0.2473,0.4095,0.5354,0.6961,50.1526,7.1686,12.9028
-0.0605,-0.0158,0.0106,0.0105,0.0102,0.0048,-0.2473,0.4095,0.5354,0.6961,49.4537,8.5663,12.2238
-0.0463,-0.0525,0.0222,0.0116,0.0166,0.0069,-0.2473,0.4095,0.5354,0.696,49.4537,8.5663,12.2238
-0.0381,-0.0783,0.0195,0.0105,0.0187,0.0059,-0.2474,0.4095,0.5354,0.696,49.4537,8.5663,12.2238
-0.0279,-0.094,0.0113,0.0083,0.0208,0.0048,-0.2474,0.4095,0.5354,0.696,49.4537,8.5663,12.2238
-0.021,-0.0728,-0.0142,0.0073,0.023,0.0048,-0.2475,0.4095,0.5354,0.696,50.1526,7.1686,12.2238
0.0022,-0.0787,0.0223,0.0052,0.0262,0.0048,-0.2477,0.4095,0.5356,0.6958,50.1526,7.1686,12.2238
0.004,-0.0517,-0.0227,0.003,0.0251,0.0048,-0.2477,0.4095,0.5355,0.6958,50.1526,7.1686,12.2238
0.034,-0.0784,-0.0377,-0.0023,0.0283,0.0005,-0.2478,0.4096,0.5355,0.6958,50.1526,7.1686,12.2238
0.0273,-0.0752,-0.0292,-0.0034,0.0294,-0.0016,-0.2478,0.4096,0.5355,0.6957,48.0576,6.4697,12.9028
0.0327,-0.0546,-0.0056,-0.0044,0.0262,-0.0027,-0.2481,0.4095,0.5357,0.6955,48.0576,6.4697,12.9028
0.0401,-0.0454,0,-0.0076,0.0272,-0.0016,-0.2482,0.4096,0.5357,0.6955,48.0576,6.4697,12.9028
0.0688,-0.0391,-0.0128,-0.0098,0.0251,-0.0027,-0.2482,0.4096,0.5357,0.6955,48.0576,6.4697,12.9028
0.0532,-0.0228,-0.0727,-0.0098,0.0219,-0.0037,-0.2483,0.4096,0.5357,0.6955,48.7549,7.1686,11.5433
0.0727,-0.047,-0.0234,-0.0119,0.0208,-0.0016,-0.2484,0.4096,0.5358,0.6953,48.7549,7.1686,11.5433
0.0542,-0.0435,-0.0387,-0.0108,0.0166,-0.0005,-0.2485,0.4096,0.5358,0.6953,48.7549,7.1686,11.5433
0.027,-0.0537,-0.0538,-0.0098,0.0123,0.0005,-0.2485,0.4096,0.5358,0.6953,48.7549,7.1686,11.5433
0.0323,-0.036,-0.0037,-0.0098,0.0091,0.0016,-0.2486,0.4096,0.5357,0.6953,48.7549,7.1686,12.2238
0.0253,0.0049,-0.0338,-0.0066,0.0091,0.0037,-0.2487,0.4095,0.5359,0.6952,48.7549,7.1686,12.2238
-0.0055,0.0249,-0.0079,-0.0044,0.0091,0.0037,-0.2487,0.4095,0.5359,0.6952,48.7549,7.1686,12.2238
-0.0359,0.0411,0.0353,-0.0034,0.0123,0.0048,-0.2487,0.4096,0.5359,0.6952,48.7549,7.1686,12.2238
-0.0125,0.0002,0.0201,-0.0044,0.0081,0.0069,-0.2487,0.4096,0.5358,0.6952,50.1526,7.8674,12.9028
-0.0323,0.0262,-0.0054,-0.0034,0.0102,0.0048,-0.2488,0.4096,0.536,0.6951,50.1526,7.8674,12.9028
-0.0641,0.0364,-0.0083,0.0009,0.0145,0.0027,-0.2488,0.4096,0.5359,0.6951,50.1526,7.8674,12.9028
-0.0683,0.0199,0.0186,0.002,0.0166,0.0027,-0.2488,0.4097,0.5359,0.695,50.1526,7.8674,12.9028
-0.0837,0.05,0.041,0.003,0.0166,0.0027,-0.2488,0.4097,0.5359,0.695,48.0576,7.8674,11.5433
-0.1242,0.0379,0.0173,0.0041,0.0155,0.0048,-0.2488,0.4098,0.5359,0.695,48.0576,7.8674,11.5433
-0.1707,-0.0082,0.0591,0.0083,0.0187,0.0037,-0.2488,0.4099,0.5358,0.695,48.0576,7.8674,11.5433
-0.1914,-0.0099,0.0796,0.0105,0.0262,0.0069,-0.2488,0.4099,0.5358,0.695,48.0576,7.8674,11.5433
-0.2541,0.0294,0.078,0.0105,0.0358,0.0112,-0.2488,0.41,0.5358,0.695,48.7549,7.1686,12.2238
-0.267,-0.0225,0.1204,0.0105,0.0454,0.0144,-0.2489,0.4101,0.5358,0.6948,48.7549,7.1686,12.2238
-0.2534,-0.0384,0.119,0.0116,0.056,0.0176,-0.2489,0.4102,0.5358,0.6948,48.7549,7.1686,12.2238
-0.2653,-0.0054,0.1182,0.0116,0.0613,0.0186,-0.249,0.4103,0.5357,0.6948,48.7549,7.1686,12.2238
-0.3113,-0.06,0.1743,0.0116,0.0688,0.0165,-0.249,0.4105,0.5356,0.6947,48.0576,6.4697,12.9028
-0.3604,-0.0252,0.1686,0.0126,0.0837,0.0154,-0.2492,0.4106,0.5357,0.6945,48.0576,6.4697,12.9028
-0.3961,-0.0177,0.2261,0.0126,0.0975,0.0154,-0.2493,0.4108,0.5356,0.6944,48.0576,6.4697,12.9028
-0.4465,-0.0137,0.2439,0.0137,0.1167,0.0133,-0.2493,0.411,0.5355,0.6944,48.0576,6.4697,12.9028
-0.4534,-0.0234,0.2542,0.0116,0.138,0.0133,-0.2494,0.4112,0.5353,0.6943,51.5488,7.8674,12.9028
-0.4151,-0.057,0.2633,0.0073,0.1551,0.0101,-0.2496,0.4115,0.5353,0.6942,51.5488,7.8674,12.9028
-0.3931,-0.0492,0.2745,0.0083,0.17,0.0101,-0.2499,0.4117,0.5352,0.694,51.5488,7.8674,12.9028
-0.4032,-0.0572,0.2631,0.0073,0.1838,0.0112,-0.2501,0.412,0.5351,0.6938,51.5488,7.8674,12.9028
-0.4153,-0.0431,0.2761,0.003,0.1955,0.0133,-0.2504,0.4123,0.535,0.6936,48.7549,7.1686,11.5433
-0.4987,-0.0205,0.2904,0.003,0.2126,0.0133,-0.2508,0.4126,0.535,0.6933,48.7549,7.1686,11.5433
-0.6039,-0.0407,0.3543,0.003,0.235,0.0165,-0.2511,0.413,0.5349,0.693,48.7549,7.1686,11.5433
-0.6898,-0.0411,0.3799,0.0073,0.2627,0.025,-0.2514,0.4134,0.5348,0.6928,48.7549,7.1686,11.5433
-0.6308,-0.0204,0.4299,0.0083,0.2957,0.0261,-0.2518,0.4138,0.5347,0.6924,49.4537,7.1686,12.2238
-0.5764,-0.0093,0.4299,0.0094,0.3212,0.0282,-0.2523,0.4143,0.5347,0.692,49.4537,7.1686,12.2238
-0.5096,-0.0504,0.3616,0.0105,0.3394,0.0272,-0.2527,0.4148,0.5345,0.6916,49.4537,7.1686,12.2238
-0.4767,-0.0268,0.362,0.0083,0.3553,0.0272,-0.2531,0.4154,0.5344,0.6912,49.4537,7.1686,12.2238
-0.5598,-0.015,0.3163,0.0041,0.3724,0.0304,-0.2536,0.416,0.5342,0.6908,50.1526,7.1686,13.5834
-0.7096,-0.0106,0.3517,0.0062,0.399,0.0336,-0.2542,0.4166,0.5342,0.6903,50.1526,7.1686,13.5834
-0.7617,0.0103,0.4705,0.0105,0.4427,0.0346,-0.2547,0.4173,0.534,0.6898,50.1526,7.1686,13.5834
-0.636,0.0384,0.615,0.0147,0.4885,0.0378,-0.2553,0.4181,0.5338,0.6893,50.1526,7.1686,13.5834
-0.5235,0.0013,0.4611,0.019,0.5087,0.0336,-0.2559,0.4189,0.5335,0.6887,48.7549,8.5663,14.2624
-0.4695,0.0561,0.339,0.0179,0.5162,0.0261,-0.2565,0.4198,0.5333,0.6882,48.7549,8.5663,14.2624
-0.576,0.0419,0.3197,0.0169,0.5332,0.0197,-0.2571,0.4207,0.533,0.6876,48.7549,8.5663,14.2624
-0.7887,0.0134,0.3804,0.0211,0.5641,0.0112,-0.2578,0.4217,0.5327,0.687,48.7549,8.5663,14.2624
-0.9802,0.0712,0.4538,0.0233,0.6121,0.008,-0.2586,0.4227,0.5323,0.6864,49.4537,7.1686,14.9429
-1.1348,0.0786,0.4835,0.0254,0.6653,0.0059,-0.2595,0.4237,0.532,0.6856,49.4537,7.1686,14.9429
-1.1235,0.0547,0.6314,0.0307,0.7229,0.0037,-0.2603,0.425,0.5316,0.6849,49.4537,7.1686,14.9429
-0.9336,0.0262,0.6833,0.0329,0.7804,-0.0016,-0.2613,0.4262,0.5311,0.6841,49.4537,7.1686,14.9429
-0.688,-0.0027,0.5912,0.0361,0.8145,-0.0091,-0.2623,0.4276,0.5305,0.6833,49.4537,7.1686,15.6219
-0.3098,-0.0616,0.6344,0.0361,0.8379,-0.0197,-0.2634,0.4289,0.5302,0.6824,49.4537,7.1686,15.6219
0.0082,-0.1064,0.5444,0.0275,0.8464,-0.0261,-0.2645,0.4302,0.5296,0.6815,49.4537,7.1686,15.6219
0.1494,-0.0627,0.4235,0.0105,0.8379,-0.0293,-0.2656,0.4315,0.5291,0.6807,49.4537,7.1686,15.6219
0.108,-0.1187,0.3302,0.002,0.8219,-0.0314,-0.2667,0.4328,0.5285,0.6799,48.7549,8.5663,16.3025
-0.0996,-0.1171,0.372,0.002,0.8241,-0.025,-0.2678,0.434,0.528,0.679,48.7549,8.5663,16.3025
-0.2793,-0.1031,0.4961,0.0062,0.8539,-0.0186,-0.269,0.4353,0.5275,0.6782,48.7549,8.5663,16.3025
-0.3838,-0.07,0.4766,0.0083,0.8869,-0.0091,-0.2701,0.4367,0.5269,0.6773,48.7549,8.5663,16.3025
-0.3982,-0.0411,0.4578,0.0126,0.9135,-0.0037,-0.2713,0.4381,0.5263,0.6763,48.7549,9.2636,17.6605
-0.3009,-0.0573,0.4566,0.0116,0.9444,-0.0048,-0.2725,0.4396,0.5257,0.6754,48.7549,9.2636,17.6605
-0.1085,-0.0443,0.439,0.0062,0.9657,-0.0112,-0.2738,0.4411,0.5251,0.6744,48.7549,9.2636,17.6605
0.0773,-0.0748,0.4146,0.0009,0.9711,-0.0165,-0.275,0.4426,0.5245,0.6733,48.7549,9.2636,17.6605
0.2424,-0.0509,0.3175,-0.0087,0.9711,-0.024,-0.2763,0.4441,0.5238,0.6723,45.2637,8.5663,18.3411
0.2985,-0.0695,0.3339,-0.0183,0.9668,-0.0304,-0.2776,0.4457,0.5232,0.6713,45.2637,8.5663,18.3411
0.3139,-0.0833,0.3018,-0.0247,0.9647,-0.0325,-0.2789,0.4471,0.5226,0.6703,45.2637,8.5663,18.3411
0.2989,-0.1001,0.329,-0.0279,0.9689,-0.0346,-0.2802,0.4486,0.5219,0.6692,45.2637,8.5663,18.3411
0.2279,-0.0854,0.3674,-0.0289,0.9732,-0.0314,-0.2815,0.45,0.5213,0.6682,47.3587,7.1686,19.7006
0.2305,-0.096,0.3692,-0.0289,0.9775,-0.0272,-0.2829,0.4514,0.5208,0.6671,47.3587,7.1686,19.7006
0.2395,-0.0916,0.3466,-0.0289,0.9775,-0.0272,-0.2843,0.4529,0.5201,0.666,47.3587,7.1686,19.7006
0.2367,-0.1317,0.3693,-0.03,0.9913,-0.0186,-0.2856,0.4543,0.5195,0.6649,47.3587,7.1686,19.7006
0.315,-0.1345,0.3379,-0.0321,0.9956,-0.0154,-0.287,0.4558,0.5189,0.6638,47.3587,6.4697,21.0602
0.406,-0.1698,0.3142,-0.0375,0.9956,-0.0154,-0.2885,0.4572,0.5184,0.6626,47.3587,6.4697,21.0602
0.4437,-0.1014,0.2582,-0.0481,0.9881,-0.0176,-0.2898,0.4587,0.5178,0.6615,47.3587,6.4697,21.0602
0.3833,-0.1487,0.2836,-0.0545,0.9838,-0.0176,-0.2912,0.4601,0.5171,0.6603,47.3587,6.4697,21.0602
0.3859,-0.1418,0.2836,-0.0598,0.9892,-0.0186,-0.2926,0.4616,0.5165,0.6592,47.3587,6.4697,20.3796
0.404,-0.1274,0.2933,-0.0652,0.9913,-0.0165,-0.2941,0.4629,0.516,0.658,47.3587,6.4697,20.3796
0.4082,-0.1242,0.2587,-0.0694,0.9913,-0.0133,-0.2955,0.4644,0.5154,0.6568,47.3587,6.4697,20.3796
0.3629,-0.1214,0.2467,-0.0737,0.9892,-0.0122,-0.2969,0.4658,0.5148,0.6557,47.3587,6.4697,20.3796
0.3496,-0.0965,0.2049,-0.0779,0.9881,-0.0112,-0.2983,0.4672,0.5142,0.6545,46.6599,7.8674,22.4182
0.2427,-0.0627,0.2327,-0.079,0.9913,-0.008,-0.2997,0.4686,0.5136,0.6533,46.6599,7.8674,22.4182
0.2058,-0.0915,0.3096,-0.0769,1.0051,-0.0059,-0.3011,0.47,0.513,0.6521,46.6599,7.8674,22.4182
0.2516,-0.0992,0.2681,-0.0779,1.0137,-0.0069,-0.3026,0.4715,0.5124,0.6509,46.6599,7.8674,22.4182
0.2862,-0.0477,0.2125,-0.0779,1.0137,-0.0069,-0.304,0.4729,0.5117,0.6496,46.6599,8.5663,21.7392
0.2668,-0.029,0.2016,-0.0886,1.0158,-0.0016,-0.3054,0.4744,0.5111,0.6484,46.6599,8.5663,21.7392
0.27,-0.0165,0.2502,-0.0896,1.0243,-0.0005,-0.3068,0.4759,0.5104,0.6472,46.6599,8.5663,21.7392
0.3152,0.0187,0.3619,-0.0907,1.0339,-0.0005,-0.3083,0.4774,0.5098,0.6459,46.6599,8.5663,21.7392
0.4214,-0.0022,0.3312,-0.0854,1.036,-0.0005,-0.3097,0.4788,0.5092,0.6446,46.6599,8.5663,23.0988
0.5388,-0.028,0.2997,-0.0833,1.0254,-0.0005,-0.3111,0.4803,0.5085,0.6434,46.6599,8.5663,23.0988
0.6321,-0.0462,0.2505,-0.0833,1.0126,-0.0027,-0.3125,0.4818,0.5079,0.6421,46.6599,8.5663,23.0988
0.7102,-0.0948,0.2349,-0.0822,1.002,-0.0059,-0.3139,0.4832,0.5073,0.6408,46.6599,8.5663,23.0988
0.7437,-0.0654,0.1851,-0.0865,0.9892,-0.0069,-0.3153,0.4846,0.5066,0.6396,46.6599,8.5663,26.4969
0.6361,-0.0469,0.1218,-0.0918,0.9732,-0.0101,-0.3167,0.486,0.5061,0.6383,46.6599,8.5663,26.4969
0.4754,-0.0383,0.1,-0.0971,0.9551,-0.0091,-0.318,0.4873,0.5054,0.6371,46.6599,8.5663,26.4969
0.2863,-0.0448,0.1603,-0.1024,0.9466,-0.0091,-0.3194,0.4887,0.5048,0.6359,46.6599,8.5663,26.4969
0.219,-0.0468,0.2166,-0.1014,0.9529,-0.0059,-0.3208,0.49,0.5042,0.6346,44.5648,7.8674,25.8179
0.2845,-0.0427,0.2557,-0.0992,0.9668,0.0016,-0.3222,0.4913,0.5037,0.6334,44.5648,7.8674,25.8179
0.4174,-0.0256,0.188,-0.0982,0.9753,0.0101,-0.3235,0.4926,0.503,0.6321,44.5648,7.8674,25.8179
0.5362,-0.0338,0.0771,-0.1014,0.9615,0.0133,-0.3249,0.494,0.5024,0.6308,44.5648,7.8674,25.8179
0.5777,-0.0189,0.0727,-0.1035,0.9402,0.0122,-0.3262,0.4954,0.5018,0.6296,43.866,7.8674,27.1774
0.4981,-0.0416,0.0975,-0.1067,0.9263,0.0112,-0.3276,0.4967,0.5013,0.6282,43.866,7.8674,27.1774
0.4205,-0.0444,0.1552,-0.1067,0.9274,0.0101,-0.3289,0.498,0.5007,0.627,43.866,7.8674,27.1774
0.3574,0.0073,0.1543,-0.1088,0.9316,0.008,-0.3302,0.4992,0.5002,0.6257,43.866,7.8674,27.1774
0.3913,0.0007,0.1911,-0.1088,0.9348,0.0091,-0.3315,0.5005,0.4996,0.6245,43.866,8.5663,27.1774
0.4289,0.0151,0.127,-0.1099,0.9316,0.0091,-0.3328,0.5018,0.499,0.6233,43.866,8.5663,27.1774
0.4276,-0.0108,0.1341,-0.111,0.9263,0.0059,-0.3341,0.5031,0.4984,0.622,43.866,8.5663,27.1774
0.4059,0.052,0.136,-0.1088,0.9221,0.0027,-0.3354,0.5044,0.4978,0.6207,43.866,8.5663,27.1774
0.3987,0.0431,0.174,-0.1099,0.9221,-0.0005,-0.3367,0.5057,0.4972,0.6195,43.1686,7.8674,27.8564
0.3899,0.0549,0.2097,-0.1099,0.9221,-0.0027,-0.338,0.5069,0.4966,0.6182,43.1686,7.8674,27.8564
0.4041,0.0413,0.1678,-0.1078,0.9189,-0.0037,-0.3393,0.5082,0.496,0.617,43.1686,7.8674,27.8564
0.4825,0.0194,0.1919,-0.1035,0.9125,-0.0048,-0.3405,0.5094,0.4954,0.6157,43.1686,7.8674,27.8564
0.5358,0.017,0.2011,-0.1046,0.9029,-0.0048,-0.3418,0.5107,0.4947,0.6145,42.4698,6.4697,29.895
0.6079,-0.0055,0.1577,-0.1035,0.8922,-0.0016,-0.3432,0.5118,0.4943,0.6131,42.4698,6.4697,29.895
0.6281,0.0107,0.1073,-0.1046,0.8784,-0.0005,-0.3445,0.513,0.4937,0.6119,42.4698,6.4697,29.895
0.6262,-0.005,0.1026,-0.1046,0.8635,0.0037,-0.3457,0.5142,0.4931,0.6107,42.4698,6.4697,29.895
0.606,0.0109,0.0781,-0.1014,0.8518,0.0048,-0.3469,0.5153,0.4926,0.6095,43.866,7.8674,30.5756
0.5632,-0.0203,0.0807,-0.1003,0.84,0.0091,-0.3481,0.5164,0.492,0.6083,43.866,7.8674,30.5756
0.5379,-0.0208,0.1077,-0.1014,0.8315,0.0112,-0.3493,0.5176,0.4915,0.6071,43.866,7.8674,30.5756
0.561,-0.0316,0.031,-0.1003,0.8251,0.0122,-0.3504,0.5187,0.4909,0.6059,43.866,7.8674,30.5756
0.5659,-0.051,-0.0013,-0.1046,0.8145,0.0154,-0.3515,0.5198,0.4904,0.6048,43.1686,7.1686,31.2546
0.5193,-0.0131,-0.0223,-0.1078,0.8038,0.0197,-0.3528,0.5209,0.4899,0.6035,43.1686,7.1686,31.2546
0.4407,-0.0368,0.0265,-0.1078,0.7974,0.0218,-0.3539,0.5219,0.4894,0.6024,43.1686,7.1686,31.2546
0.3192,-0.0082,0.0689,-0.1088,0.7942,0.025,-0.355,0.523,0.4889,0.6012,43.1686,7.1686,31.2546
0.2676,0.0042,0.0885,-0.1056,0.7985,0.0304,-0.3561,0.5241,0.4884,0.6,41.7709,8.5663,31.2546
0.2432,0.0045,0.092,-0.1078,0.8059,0.0314,-0.3571,0.5252,0.4878,0.5989,41.7709,8.5663,31.2546
0.3302,-0.0177,0.1151,-0.1056,0.8113,0.0357,-0.3582,0.5263,0.4873,0.5977,41.7709,8.5663,31.2546
0.4397,0.0396,0.0859,-0.1056,0.8028,0.0368,-0.3593,0.5274,0.4868,0.5965,41.7709,8.5663,31.2546
0.5658,0.044,0.0641,-0.1046,0.7878,0.0336,-0.3604,0.5285,0.4862,0.5953,41.7709,7.8674,32.6141
0.632,0.0698,0.0856,-0.1014,0.774,0.0282,-0.3614,0.5295,0.4858,0.5941,41.7709,7.8674,32.6141
0.6467,0.0759,0.045,-0.1024,0.7569,0.025,-0.3624,0.5306,0.4853,0.593,41.7709,7.8674,32.6141
0.617,0.0865,0.0483,-0.1024,0.742,0.024,-0.3634,0.5316,0.4848,0.5919,41.7709,7.8674,32.6141
0.5336,0.0599,-0.0094,-0.0992,0.7335,0.0229,-0.3644,0.5326,0.4843,0.5908,42.4698,7.1686,31.9351
0.4561,0.0511,-0.0136,-0.0928,0.7282,0.025,-0.3654,0.5336,0.4838,0.5896,42.4698,7.1686,31.9351
0.3448,0.0363,0.0058,-0.0918,0.726,0.0304,-0.3664,0.5346,0.4833,0.5885,42.4698,7.1686,31.9351
0.3138,0.0643,0.0674,-0.0896,0.7293,0.0346,-0.3674,0.5356,0.4828,0.5874,42.4698,7.1686,31.9351
0.356,0.0487,0.0652,-0.0843,0.726,0.0378,-0.3683,0.5366,0.4823,0.5863,40.3748,7.1686,33.2947
0.4199,-0.0126,0.0145,-0.0822,0.7175,0.0368,-0.3693,0.5375,0.4819,0.5852,40.3748,7.1686,33.2947
0.5047,0.0363,0.0219,-0.0811,0.7058,0.0357,-0.3702,0.5385,0.4814,0.5841,40.3748,7.1686,33.2947
0.4877,0.0612,0.0064,-0.0811,0.6941,0.0325,-0.3711,0.5395,0.4809,0.583,40.3748,7.1686,33.2947
0.4574,0.0476,-0.0167,-0.0801,0.6866,0.0336,-0.372,0.5404,0.4804,0.582,40.3748,8.5663,34.6527
0.4144,0.0239,-0.0009,-0.0801,0.6845,0.0325,-0.3728,0.5414,0.4799,0.581,40.3748,8.5663,34.6527
0.3613,0.0519,0.0927,-0.0769,0.6824,0.0314,-0.3737,0.5424,0.4794,0.5799,40.3748,8.5663,34.6527
0.3909,0.0514,0.0641,-0.0726,0.6781,0.0325,-0.3746,0.5433,0.4789,0.5789,40.3748,8.5663,34.6527
0.4097,0.0913,0.0458,-0.0683,0.6717,0.0325,-0.3754,0.5442,0.4785,0.5779,41.7709,8.5663,35.3333
0.307,0.0853,0.0361,-0.0662,0.6632,0.0304,-0.3762,0.5452,0.4779,0.5769,41.7709,8.5663,35.3333
0.1761,0.0735,0.0694,-0.062,0.6621,0.0336,-0.377,0.5461,0.4774,0.5759,41.7709,8.5663,35.3333
0.0486,0.0763,0.105,-0.0566,0.6707,0.0368,-0.3778,0.547,0.4769,0.5749,41.7709,8.5663,35.3333
-0.0432,0.0795,0.1131,-0.0502,0.6824,0.0421,-0.3786,0.548,0.4764,0.5739,38.2782,7.8674,35.3333
-0.1311,0.0625,0.1223,-0.0449,0.6962,0.0453,-0.3794,0.5489,0.4759,0.5729,38.2782,7.8674,35.3333
