Acce X,Acce Y,Acce Z,Gyro X,Gyro Y,Gyro Z,Quat x,Quat y,Quat z,Quat w,Mag X,MagY,Mag Z
0.0365,0.1031,-0.0049,-0.0641,-0.1709,-0.0037,-0.4715,0.6612,0.3845,0.4388,21.5164,7.1686,50.9659
-0.0581,0.1207,0.019,-0.0609,-0.173,-0.0059,-0.4714,0.661,0.3848,0.439,21.5164,7.1686,50.9659
-0.1163,0.1258,0.0395,-0.0577,-0.1688,-0.0059,-0.4712,0.6608,0.3852,0.4392,21.5164,7.1686,50.9659
-0.1074,0.1342,0.011,-0.0545,-0.1634,-0.0069,-0.471,0.6606,0.3855,0.4395,21.5164,7.1686,50.9659
-0.0586,0.1115,0.0344,-0.0524,-0.1613,-0.0069,-0.4709,0.6604,0.3858,0.4397,20.8176,7.1686,50.2869
-0.0691,0.106,0.0225,-0.046,-0.1624,-0.0091,-0.4707,0.6602,0.3862,0.4399,20.8176,7.1686,50.2869
-0.0639,0.0567,0.0643,-0.0428,-0.1634,-0.008,-0.4705,0.66,0.3865,0.4401,20.8176,7.1686,50.2869
-0.116,0.0678,0.0622,-0.0396,-0.1613,-0.0069,-0.4704,0.6597,0.3868,0.4404,20.8176,7.1686,50.2869
-0.1753,0.0737,0.0733,-0.0353,-0.1592,-0.0048,-0.4702,0.6595,0.3871,0.4406,21.5164,7.8674,49.6063
-0.1811,0.0429,0.0943,-0.0321,-0.1539,-0.0027,-0.47,0.6593,0.3873,0.4409,21.5164,7.8674,49.6063
-0.1839,0.0312,0.0551,-0.0289,-0.1507,0.0016,-0.4699,0.659,0.3876,0.4412,21.5164,7.8674,49.6063
-0.1978,0.044,0.0942,-0.0257,-0.1464,0.0069,-0.4698,0.6588,0.3879,0.4414,21.5164,7.8674,49.6063
-0.1895,0.0489,0.1009,-0.0225,-0.1389,0.008,-0.4696,0.6586,0.3882,0.4417,22.9126,7.8674,49.6063
-0.1849,0.0767,0.1056,-0.0183,-0.1368,0.008,-0.4694,0.6584,0.3884,0.4419,22.9126,7.8674,49.6063
-0.1494,0.0564,0.0918,-0.0172,-0.1336,0.0091,-0.4692,0.6582,0.3887,0.4422,22.9126,7.8674,49.6063
-0.1365,0.0819,0.1333,-0.0161,-0.1304,0.0112,-0.469,0.6581,0.3889,0.4424,22.9126,7.8674,49.6063
